,pdtb_P,pdtb_R,conll2015_P,conll2015_R,syntactic_P,syntactic_R,heuristic_P,heuristic_R
after,-,-,-,-,-,-,-,-
also,0.8333333333333334,0.5555555555555556,0.3333333333333333,0.5,-,-,1.0,0.6
and,0.6746031746031746,0.7798165137614679,0.15079365079365079,0.2878787878787879,0.10317460317460317,0.4482758620689655,1.0,0.45
as,0.7777777777777778,1.0,-,-,0.3333333333333333,0.17647058823529413,1.0,0.19148936170212766
as if,-,-,-,-,-,-,-,-
as though,-,-,-,-,-,-,-,-
as well,-,-,-,-,-,-,-,-
at,-,-,-,-,-,-,-,-
at the same time,-,-,-,-,-,-,-,-
because,1.0,0.7619047619047619,0.375,0.6666666666666666,0.5,0.4444444444444444,1.0,0.7619047619047619
before,-,-,-,-,-,-,-,-
but,0.8085106382978723,0.8085106382978723,0.10638297872340426,0.5,0.02127659574468085,0.5,1.0,0.8103448275862069
but indeed,-,-,-,-,-,-,-,-
by,-,-,-,-,-,-,-,-
clearly,-,-,-,-,-,-,-,-
earlier,-,-,-,-,-,-,-,-
else,-,-,-,-,-,-,-,-
especially when,-,-,-,-,-,-,-,-
for,-,-,-,-,-,-,1.0,0.02702702702702703
further,-,-,-,-,-,-,-,-
however,1.0,1.0,1.0,1.0,-,-,1.0,1.0
if,0.8695652173913043,0.6060606060606061,0.08695652173913043,0.5,0.6521739130434783,0.5357142857142857,1.0,0.5609756097560976
if then,-,-,-,-,-,-,-,-
if;then,-,-,-,-,-,-,-,-
in,-,-,-,-,-,-,-,-
in fact,1.0,1.0,-,-,-,-,1.0,1.0
in order,-,-,-,-,-,-,-,-
in other words,-,-,-,-,-,-,-,-
in short,1.0,1.0,-,-,-,-,1.0,1.0
indeed,-,-,-,-,-,-,-,-
lastly,-,-,-,-,-,-,-,-
later,-,-,-,-,-,-,-,-
next,-,-,-,-,-,-,-,-
on the one hand,-,-,-,-,-,-,0.5,0.5
once,-,-,-,-,-,-,-,-
or,0.42857142857142855,0.75,0.14285714285714285,0.14285714285714285,-,-,1.0,0.3888888888888889
plus,-,-,-,-,-,-,-,-
rather,-,-,-,-,-,-,0.5,1.0
since,1.0,1.0,-,-,-,-,1.0,0.5
so,0.5263157894736842,0.45454545454545453,0.05263157894736842,0.1111111111111111,0.05263157894736842,0.5,1.0,0.3392857142857143
so that,1.0,0.5,-,-,-,-,1.0,0.3333333333333333
still,-,-,-,-,-,-,-,-
than,-,-,-,-,-,-,-,-
that's why,-,-,-,-,-,-,-,-
then,1.0,0.6363636363636364,-,-,-,-,1.0,0.5
though,1.0,0.6666666666666666,-,-,-,-,1.0,0.4
through,-,-,-,-,-,-,-,-
until,1.0,1.0,-,-,-,-,1.0,1.0
when,0.875,0.3888888888888889,0.25,0.4,0.25,0.16666666666666666,1.0,0.42105263157894735
where,-,-,-,-,-,-,-,-
while,1.0,0.5,-,-,-,-,1.0,0.5
with,-,-,-,-,-,-,-,-
yet,-,-,-,-,-,-,-,-
